"","ID","dialect","diaClass_hanna","place","GID","generation","informant","type","progess_lvl","PAM","PAM_add","CTR","CTR_add","PAM_corr","div"
"747",370,"Schwäbisch","Westoberdeutsch","Ulm",127525,"jung","ULJUNG2","Inter",3,1.94,"?",1.9,NA,1.66531211188324,0.234687888116764
"752",375,"Schwäbisch","Westoberdeutsch","Rudersberg",131121,"mittel","WN3","Inter",3,2.07,"?",2,NA,1.77690519154551,0.223094808454485
"778",388,"Nordniederdeutsch","nördliches Niederdeutsch","Bad Segeberg",116678,"alt","SEALT2","FG",3,2.72,"MA",1.91,"CK",1.3947512781552,0.5152487218448
"780",390,"Nordniederdeutsch","nördliches Niederdeutsch","Bad Segeberg",116678,"jung","SEJUNG1","FG",3,1.58,"MA",0.57,"CK",0.810186404222506,0.240186404222506
"787",391,"Nordniederdeutsch","nördliches Niederdeutsch","Oldenburg",107826,"alt","OLALT3","FG",3,2.93,"?",2.28,NA,1.50243428124806,0.777565718751936
"788",392,"Nordniederdeutsch","nördliches Niederdeutsch","Oldenburg",107826,"mittel","OL5","FG",3,1.58,"?",0.61,NA,0.810186404222506,0.200186404222506
"789",393,"Nordniederdeutsch","nördliches Niederdeutsch","Oldenburg",107826,"jung","OLJUNG","FG",3,1.83,"?",0.49,NA,0.938380455523535,0.448380455523535
"799",394,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Schwerin",119248,"mittel","SN2","FG",3,1.38,"MA",0.65,"CK",0.868123180094363,0.218123180094363
"800",395,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Schwerin",119248,"alt","SNALT2","FG",3,2.36,"MA",1.74,"CK",1.484616452915,0.255383547085002
"801",396,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Schwerin",119248,"jung","SNJUNG1","FG",3,1.7,"NZ",0.73,"CK",1.06942710591335,0.339427105913346
"806",398,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Bergen",118712,"alt","RUEGALT2","FG",3,3.06,"LV",2.7,NA,1.92496879064402,0.775031209355977
"833",407,"Westfälisch","südliches Niederdeutsch","Borken",102881,"alt","BORALT1","FG",3,2.42,"?",2.01,NA,1.18936451388776,0.820635486112243
"837",411,"Westfälisch","südliches Niederdeutsch","Hagen",103064,"jung","HAJUNG1","FG",3,1.37,"?",0.3,NA,0.673317927283565,0.373317927283565
"838",412,"Westfälisch","südliches Niederdeutsch","Gütersloh",101621,"alt","GTALT2","FG",3,2.2,"?",1.84,NA,1.08124046717069,0.758759532829312
"840",414,"Westfälisch","südliches Niederdeutsch","Gütersloh",101621,"jung","GTJUNG2","FG",3,1.31,"?",0.27,NA,0.643829550906182,0.373829550906182
"843",417,"Westfälisch","südliches Niederdeutsch","Horn-Bad Meinberg",102973,"jung","LIPJUNG2","FG",3,0.82,"?",0.2,NA,0.403007810490893,0.203007810490893
"844",418,"Westfälisch","südliches Niederdeutsch","Drolshagen",101533,"alt","OEALT2","FG",3,2.3,"?",1.87,NA,1.13038776113299,0.739612238867008
"853",424,"Ostfälisch","südliches Niederdeutsch","Northeim",107905,"mittel","NOM3","FG",3,2.33,"RK",0.98,"CK",1.1862612966243,0.206261296624302
"854",425,"Ostfälisch","südliches Niederdeutsch","Northeim",107905,"alt","NOMALT1","FG",3,2.23,"FH",1.4,"CK",1.13534879462326,0.264651205376741
"910",443,"Rheinfränkisch-Zentralhessisch-Moselfränkisch","westliches Mitteldeutsch","Frankfurt am Main",97616,"alt","FALT1","FG",3,1.97,"?",1.9,NA,1.61015306953265,0.28984693046735
"912",445,"Rheinfränkisch-Zentralhessisch-Moselfränkisch","westliches Mitteldeutsch","Frankfurt am Main",97616,"jung","FJUNG1","FG",3,1.78,"?",1.1,NA,1.45485911866402,0.354859118664018
"922",449,"Zentralhessisch","westliches Mitteldeutsch","Bad Nauheim",99815,"alt","FBALT2","FG",3,2.54,"?",2.1,NA,1.85322018953334,0.246779810466662
"924",451,"Zentralhessisch","westliches Mitteldeutsch","Bad Nauheim",99815,"jung","FBJUNG1","FG",3,2.06,"?",1.1,NA,1.50300535056641,0.403005350566408
"925",452,"Zentralhessisch","westliches Mitteldeutsch","Büdingen",99973,"alt","BÜDALT1","FG",3,2.37,"?",2.2,NA,1.72918576739922,0.470814232600783
"926",453,"Zentralhessisch","westliches Mitteldeutsch","Büdingen",99973,"mittel","BÜD3","FG",3,1.91,"?",1.6,NA,1.39356321338924,0.206436786610758
"929",455,"Zentralhessisch","westliches Mitteldeutsch","Gießen",96713,"mittel","GI11","FG",3,2.08,"?",1.3,NA,1.51759763552336,0.217597635523364
"930",456,"Zentralhessisch","westliches Mitteldeutsch","Gießen",96713,"jung","GIJUNG","FG",3,2.14,"?",1.1,NA,1.56137449039423,0.46137449039423
"931",457,"Zentralhessisch","westliches Mitteldeutsch","Ulrichstein",94901,"alt","VBALT2","FG",3,3.08,"?",2.5,NA,2.24721188337113,0.252788116628865
"933",458,"Zentralhessisch","westliches Mitteldeutsch","Ulrichstein",94901,"jung","VBJUNG1","FG",3,3.01,"?",2.5,NA,2.19613888602179,0.303861113978209
"935",460,"Osthessisch","westliches Mitteldeutsch","Hofbieber",100236,"mittel","FD4","FG",3,2.1,"PL",1.97,"CK",1.71534609365595,0.254653906344047
"936",461,"Osthessisch","westliches Mitteldeutsch","Hofbieber",100236,"jung","FDJUNG1","FG",3,1.42,"PL",0.94,"CK",1.15990069190069,0.219900691900692
"943",462,"Thüringisch","östliches Mitteldeutsch","Sondershausen",141165,"alt","KYFALT2","FG",3,2.56,"?",2.4,NA,2.18461538461538,0.215384615384616
"953",466,"Obersächsisch","östliches Mitteldeutsch","Dresden",137577,"mittel","DD4","FG",3,2.08,"?",1.1,NA,1.36034268998832,0.260342689988316
"983",481,"Mittelbairisch","Ostoberdeutsch","München",73556,"mittel","M9","FG",3,2.53,"?",2.3,NA,2.08367412648235,0.216325873517654
"989",483,"Mittelbairisch","Ostoberdeutsch","Trostberg",75512,"mittel","TS2","FG",3,2.92,"MB",2.1,NA,2.4048729048729,0.304872904872905
"1002",486,"Schwäbisch","Westoberdeutsch","Kaufbeuren",83571,"jung","KFJUNG1","FG",3,1.36,"?",1,NA,1.20414231603249,0.204142316032493
"1014",497,"Schwäbisch","Westoberdeutsch","Blindheim",78986,"jung","DLGJUNG2","FG",3,2.04,"?",1.6,NA,1.80621347404874,0.206213474048739
"1023",500,"Mittelalemannisch","Westoberdeutsch","Bräunlingen",127324,"jung","VSJUNG1","FG",3,2.19,"?",1.82,"CK",1.60308781188935,0.216912188110654
"1029",503,"Mittelalemannisch","Westoberdeutsch","Tuttlingen",130272,"jung","TUTJUNG1","FG",3,1.58,"PL",0.83,"MG",1.15656563597496,0.326565635974962
"1078",518,"Brandenburgisch","nördliches Niederdeutsch","Pritzwalk",125032,"mittel","PR1","WSD",3,2.33,"?",1.78,"SL",1.44509027782141,0.334909722178588
"1079",519,"Brandenburgisch","nördliches Niederdeutsch","Pritzwalk",125032,"alt","PRALT2","WSD",3,2.43,"?",1.84,"SL",1.507111319788,0.332888680212004
"1091",522,"Westfälisch","südliches Niederdeutsch","Borken",102881,"alt","BORALT1","WSD",3,2.77,"?",2.54,NA,2.27669705163519,0.263302948364807
"1092",523,"Westfälisch","südliches Niederdeutsch","Borken",102881,"jung","BORJUNG1","WSD",3,1.43,"?",0.87,NA,1.17533457900301,0.305334579003006
"1095",526,"Westfälisch","südliches Niederdeutsch","Hagen",103064,"jung","HAJUNG1","WSD",3,1.1,"?",0.52,NA,0.904103522310005,0.384103522310005
"1096",527,"Westfälisch","südliches Niederdeutsch","Gütersloh",101621,"alt","GTALT2","WSD",3,2.83,"?",2.68,NA,2.32601178921574,0.353988210784261
"1098",529,"Westfälisch","südliches Niederdeutsch","Gütersloh",101621,"jung","GTJUNG2","WSD",3,1,"?",0.34,NA,0.821912293009095,0.481912293009095
"1101",531,"Westfälisch","südliches Niederdeutsch","Horn-Bad Meinberg",102973,"jung","LIPJUNG2","WSD",3,0.53,"?",1.07,NA,0.43561351529482,0.63438648470518
"1102",532,"Westfälisch","südliches Niederdeutsch","Drolshagen",101533,"alt","OEALT2","WSD",3,3.1,"?",2.8,NA,2.54792810832819,0.252071891671805
"1103",533,"Westfälisch","südliches Niederdeutsch","Drolshagen",101533,"mittel","OE7","WSD",3,2.39,"?",2.2,NA,1.96437038029174,0.235629619708263
"1104",534,"Westfälisch","südliches Niederdeutsch","Drolshagen",101533,"jung","OEJUNG","WSD",3,1.05,"MA",0.42,NA,0.86300790765955,0.44300790765955
"1129",546,"Ripuarisch-Niederfränkisch","Westdeutsch","Mönchengladbach",136187,"alt","MGALT","WSD",3,2.84,"?",2.7,NA,2.44865154941522,0.251348450584785
"1187",569,"Zentralhessisch","westliches Mitteldeutsch","Gießen",96713,"mittel","GI11","WSD",3,2.93,"?",2.2,NA,2.50748114247753,0.307481142477534
"1201",577,"Thüringisch","östliches Mitteldeutsch","Sondershausen",141165,"alt","KYFALT2","WSD",3,2.81,"?",2.5,NA,2.25357142857143,0.246428571428571
"1214",583,"Obersächsisch","östliches Mitteldeutsch","Reichenbach",137668,"mittel","Z9","WSD",3,2.43,"?",2.2,NA,1.93992627640845,0.260073723591549
"1231",590,"Nordbairisch","Ostoberdeutsch","Weiden",73125,"alt","WENALT2","WSD",3,2.4,"?",2.4,NA,2.1412754724087,0.258724527591297
"1232",591,"Nordbairisch","Ostoberdeutsch","Weiden",73125,"mittel","WEN2","WSD",3,2.58,"?",2,NA,2.30187113283936,0.301871132839355
