ort;gid;GENERATION;Informant;PAM-Wert_WSS;Kontrollwert_WSS;PAM-Wert_NOSO;Kontrollwert_NOSO;PAM-Wert_INT;Kontrollwert_INT;PAM-Wert_FG;Kontrollwert_FG;PAM-Wert_WSD;Kontrollwert_WSD;;;;;;;;;;;;
Troisdorf;134279;jung;SUJUNG2;NA;0,80;0,67;0,70;NA;0,80;1,32;1,10;NA;1,50;;;;;;;;;;;;
Krefeld;135092;alt;KRALT3;1,13;0,80;1,25;0,90;1,63;1,20;2,31;2,00;3,11;2,60;;;;;;;;;;;;
Krefeld;135092;mittel;KR5;0,99;0,70;1,07;0,80;1,44;1,30;1,74;1,60;2,80;2,50;;;;;;;;;;;;
Krefeld;135092;jung;KRJUNG1;NA;0,70;0,79;0,70;1,54;1,20;NA;1,30;NA;1,30;;;;;;;;;;;;
Mönchengladbach;136187;alt;MGALT;1,28;0,90;1,13;0,80;1,64;1,30;2,24;2,10;2,84;2,70;;;;;;;;;;;;
Mönchengladbach;136187;mittel;MG6;1,10;0,80;1,09;0,80;1,74;1,30;1,51;1,20;1,56;1,20;;;;;;;;;;;;
Mönchengladbach;136187;jung;MGJUNG1;NA;0,60;0,82;0,60;NA;1,20;NA;1,30;NA;1,40;;;;;;;;;;;;
Wittlich;100001;alt;WITALT1;0,93;0,70;0,80;0,50;NA;1,00;NA;1,40;2,21;1,90;;;;;;;;;;;;
Wittlich;100001;mittel;WIT10;NA;0,40;NA;0,40;NA;0,70;NA;0,90;NA;1,00;;;;;;;;;;;;
Wittlich;100001;jung;WITJUNG2;NA;0,60;0,82;0,50;NA;0,60;NA;0,90;NA;NA;;;;;;;;;;;;
Kaiserslautern;100327;mittel;KL3;0,72;0,57;1,09;0,80;1,35;0,96;2,19;1,61;2,03;1,62;;;;;;;;;;;;
Kaiserslautern;100327;alt;KLALT1;1,13;0,72;1,44;0,96;1,87;1,43;1,69;1,16;2,24;1,93;;;;;;;;;;;;
Kaiserslautern;100327;jung;KLJUNG1;0,65;0,31;0,90;0,49;1,66;0,86;2,33;1,71;2,01;1,75;;;;;;;;;;;;
Erbach;98214;alt;ERBALT1;NA;1,30;1,53;1,30;NA;1,80;NA;2,10;NA;2,20;;;;;;;;;;;;
Erbach;98214;mittel;ERB2;NA;1,30;1,07;1,00;NA;1,70;NA;2,10;NA;2,10;;;;;;;;;;;;
Erbach;98214;jung;ERBJUNG1;NA;0,90;1,21;0,70;NA;1,60;NA;2,00;NA;2,00;;;;;;;;;;;;
Reinheim;99678;alt;DAALT2;1,18;1,10;1,36;1,20;2,10;1,60;2,91;2,00;2,39;2,10;;;;;;;;;;;;
Reinheim;99678;mittel;DA1;NA;1,00;0,94;0,90;NA;1,40;NA;1,90;NA;1,90;;;;;;;;;;;;
Reinheim;99678;jung;DAJUNG1;0,74;0,80;0,70;0,70;2,00;1,30;1,81;1,30;2,02;1,50;;;;;;;;;;;;
Frankfurt am Main;97616;alt;FALT1;1,36;1,00;0,94;0,80;2,01;1,80;1,97;1,90;2,23;2,00;;;;;;;;;;;;
Frankfurt am Main;97616;mittel;F1;1,21;0,90;1,01;0,70;1,57;1,40;2,07;1,80;1,84;1,80;;;;;;;;;;;;
Frankfurt am Main;97616;jung;FJUNG1;0,96;0,60;1,06;0,70;1,96;1,00;1,78;1,10;1,50;1,30;;;;;;;;;;;;
Homberg;96619;mittel;HR4;1,39;0,90;1,09;0,82;1,66;1,07;1,65;1,08;2,29;1,90;;;;;;;;;;;;
Homberg;96619;alt;HRALT2;0,96;0,66;0,88;0,76;1,18;0,75;1,22;0,92;1,93;1,70;;;;;;;;;;;;
Homberg;96619;jung;HRJUNG1;0,80;0,44;0,78;0,44;1,65;0,92;1,49;1,03;1,28;0,95;;;;;;;;;;;;
Bad Nauheim;99815;alt;FBALT2;1,32;1,20;1,24;1,00;2,67;2,00;2,54;2,10;2,53;2,20;;;;;;;;;;;;
Bad Nauheim;99815;mittel;FB1;0,73;0,60;0,74;0,60;1,50;1,10;1,74;1,30;2,28;1,80;;;;;;;;;;;;
Bad Nauheim;99815;jung;FBJUNG1;1,42;0,70;1,43;0,80;1,88;1,00;2,06;1,10;1,76;1,50;;;;;;;;;;;;
Büdingen;99973;alt;BÜDALT1;1,30;1,20;1,49;1,30;2,15;2,10;2,37;2,20;2,41;2,20;;;;;;;;;;;;
Büdingen;99973;mittel;BÜD3;1,14;0,90;1,08;0,80;1,69;1,40;1,91;1,60;2,27;2,10;;;;;;;;;;;;
Büdingen;99973;jung;BÜDJUNG1;1,02;0,70;0,84;0,60;1,57;0,90;1,56;1,00;2,00;1,70;;;;;;;;;;;;
Gießen;96713;alt;GIALT1;1,55;1,10;1,36;1,00;1,94;1,30;NA;NA;2,41;2,00;;;;;;;;;;;;
Gießen;96713;mittel;GI11;1,53;1,10;1,44;0,80;2,23;1,20;2,08;1,30;2,93;2,20;;;;;;;;;;;;
Gießen;96713;jung;GIJUNG;1,31;0,60;1,45;0,70;2,06;1,00;2,14;1,10;1,97;1,70;;;;;;;;;;;;
Ulrichstein;94901;alt;VBALT2;2,10;1,40;1,97;1,40;2,16;1,70;3,08;2,50;3,24;2,90;;;;;;;;;;;;
Ulrichstein;94901;mittel;VB2;1,40;1,00;1,44;1,00;1,80;1,40;NA;2,50;3,08;2,60;;;;;;;;;;;;
Ulrichstein;94901;jung;VBJUNG1;1,48;1,10;1,56;1,00;2,23;1,30;3,01;2,50;2,93;2,60;;;;;;;;;;;;
Hofbieber;100236;alt;FDALT3;1,05;0,98;1,06;0,92;1,44;1,13;2,34;1,99;2,47;2,34;;;;;;;;;;;;
Hofbieber;100236;mittel;FD4;0,72;0,53;0,84;0,63;1,08;0,85;2,10;1,97;2,37;2,30;;;;;;;;;;;;
Hofbieber;100236;jung;FDJUNG1;0,93;0,32;1,00;0,25;1,49;1,04;1,42;0,94;2,01;1,88;;;;;;;;;;;;
Erfurt;138764;alt;(EFALT2);NA;0,70;NA;0,80;NA;1,00;NA;1,00;NA;1,30;;;;;;;;;;;;
Erfurt;138764;mittel;(EF2);NA;0,80;NA;1,00;NA;1,20;NA;1,40;NA;1,00;;;;;;;;;;;;
Erfurt;138764;jung;(EFJUNG2);NA;0,60;NA;0,80;NA;1,10;NA;1,10;NA;1,10;;;;;;;;;;;;
Sondershausen;141165;alt;KYFALT2;1,93;1,80;1,96;1,60;2,54;2,00;2,56;2,40;2,81;2,50;;;;;;;;;;;;
Sondershausen;141165;mittel;KYF5;1,42;1,10;1,83;1,20;2,11;1,70;2,08;1,60;1,82;1,30;;;;;;;;;;;;
Gera;139192;alt;GALT1;NA;1,10;NA;1,00;NA;1,30;NA;1,20;NA;1,00;;;;;;;;;;;;
Gera;139192;mittel;G2;1,71;1,10;1,36;1,10;2,14;1,40;2,35;1,30;1,77;1,40;;;;;;;;;;;;
Dresden;137577;alt;DDALT;NA;0,90;1,33;1,00;1,93;1,20;1,81;1,30;1,28;1,00;;;;;;;;;;;;
Dresden;137577;mittel;DD4;1,27;0,90;1,28;0,80;1,79;1,00;2,08;1,10;1,42;1,00;;;;;;;;;;;;
Dresden;137577;jung;DDJUNG2;NA;0,90;0,70;0,80;1,55;0,90;1,51;1,00;1,62;1,30;;;;;;;;;;;;
Reichenbach;137668;alt;ZALT1;NA;1,40;1,88;1,50;NA;1,90;NA;1,80;NA;1,80;;;;;;;;;;;;
Reichenbach;137668;mittel;Z9;1,51;1,30;1,94;1,50;2,35;2,00;2,83;2,00;2,43;2,20;;;;;;;;;;;;
Ansbach;92718;alt;ANALT2;1,68;1,07;1,57;1,07;1,91;1,41;2,24;1,71;2,39;1,86;;;;;;;;;;;;
Ansbach;92718;mittel;AN3;1,06;0,57;1,36;0,77;2,17;1,26;2,24;1,74;2,30;1,84;;;;;;;;;;;;
Ansbach;92718;jung;ANJUNG;1,46;0,84;1,48;1,21;2,08;1,28;2,42;1,58;2,47;1,85;;;;;;;;;;;;
Bamberg;85574;alt;BAALT;1,12;0,90;NA;1,00;NA;1,50;NA;1,60;1,91;1,70;;;;;;;;;;;;
Bamberg;85574;mittel;BA1;NA;0,80;;0,90;NA;1,40;NA;1,50;NA;1,70;;;;;;;;;;;;
Bamberg;85574;jung;BAJUNG2;NA;0,70;1,14;0,70;NA;0,80;NA;0,80;NA;1,10;;;;;;;;;;;;
Hirschau;82073;alt;AMALT1;1,63;1,30;1,93;1,70;2,43;2,00;2,93;2,60;2,65;2,50;;;;;;;;;;;;
