"","ID","dialect","diaClass_hanna","place","GID","generation","informant","type","progess_lvl","PAM","PAM_add","CTR","CTR_add"
"394",199,"Rheinfränkisch-Zentralhessisch-Moselfränkisch","westliches Mitteldeutsch","Frankfurt am Main","97616","alt","FALT1","NoSo","3",0.94,"?",0.8,NA
"395",200,"Rheinfränkisch-Zentralhessisch-Moselfränkisch","westliches Mitteldeutsch","Frankfurt am Main","97616","mittel","F1","NoSo","3",1.01,"?",0.7,NA
"396",201,"Rheinfränkisch-Zentralhessisch-Moselfränkisch","westliches Mitteldeutsch","Frankfurt am Main","97616","jung","FJUNG1","NoSo","3",1.06,"?",0.7,NA
"400",202,"Nordhessisch","westliches Mitteldeutsch","Homberg","96619","mittel","HR4","NoSo","3",1.09,"MA",0.82,"CK"
"401",203,"Nordhessisch","westliches Mitteldeutsch","Homberg","96619","alt","HRALT2","NoSo","3",0.88,"PL",0.76,"CK"
"402",204,"Nordhessisch","westliches Mitteldeutsch","Homberg","96619","jung","HRJUNG1","NoSo","3",0.78,"PL",0.44,"CK"
"406",205,"Zentralhessisch","westliches Mitteldeutsch","Bad Nauheim","99815","alt","FBALT2","NoSo","3",1.24,"?",1,NA
"407",206,"Zentralhessisch","westliches Mitteldeutsch","Bad Nauheim","99815","mittel","FB1","NoSo","3",0.74,"?",0.6,NA
"408",207,"Zentralhessisch","westliches Mitteldeutsch","Bad Nauheim","99815","jung","FBJUNG1","NoSo","3",1.43,"?",0.8,NA
"409",208,"Zentralhessisch","westliches Mitteldeutsch","Büdingen","99973","alt","BÜDALT1","NoSo","3",1.49,"?",1.3,NA
"410",209,"Zentralhessisch","westliches Mitteldeutsch","Büdingen","99973","mittel","BÜD3","NoSo","3",1.08,"?",0.8,NA
"411",210,"Zentralhessisch","westliches Mitteldeutsch","Büdingen","99973","jung","BÜDJUNG1","NoSo","3",0.84,"?",0.6,NA
"412",211,"Zentralhessisch","westliches Mitteldeutsch","Gießen","96713","alt","GIALT1","NoSo","3",1.36,"?",1,NA
"413",212,"Zentralhessisch","westliches Mitteldeutsch","Gießen","96713","mittel","GI11","NoSo","3",1.44,"?",0.8,NA
"414",213,"Zentralhessisch","westliches Mitteldeutsch","Gießen","96713","jung","GIJUNG","NoSo","3",1.45,"MB",0.7,NA
"415",214,"Zentralhessisch","westliches Mitteldeutsch","Ulrichstein","94901","alt","VBALT2","NoSo","3",1.97,"?",1.4,NA
"416",215,"Zentralhessisch","westliches Mitteldeutsch","Ulrichstein","94901","mittel","VB2","NoSo","3",1.44,"?",1,NA
"417",216,"Zentralhessisch","westliches Mitteldeutsch","Ulrichstein","94901","jung","VBJUNG1","NoSo","3",1.56,"?",1,NA
"418",217,"Osthessisch","westliches Mitteldeutsch","Hofbieber","100236","alt","FDALT3","NoSo","3",1.06,"MA",0.92,"CK"
"419",218,"Osthessisch","westliches Mitteldeutsch","Hofbieber","100236","mittel","FD4","NoSo","3",0.84,"MA",0.63,"CK"
"420",219,"Osthessisch","westliches Mitteldeutsch","Hofbieber","100236","jung","FDJUNG1","NoSo","3",1,"MG",0.25,"SL"
"427",220,"Thüringisch","östliches Mitteldeutsch","Sondershausen","141165","alt","KYFALT2","NoSo","3",1.96,"?",1.6,NA
"428",221,"Thüringisch","östliches Mitteldeutsch","Sondershausen","141165","mittel","KYF5","NoSo","3",1.83,"?",1.2,NA
"431",222,"Thüringisch-Obersächsisch","östliches Mitteldeutsch","Gera","139192","mittel","G2","NoSo","3",1.36,"?",1.1,NA
"436",223,"Obersächsisch","östliches Mitteldeutsch","Dresden","137577","alt","DDALT","NoSo","3",1.33,"?",1,NA
"437",224,"Obersächsisch","östliches Mitteldeutsch","Dresden","137577","mittel","DD4","NoSo","3",1.28,"?",0.8,NA
"438",225,"Obersächsisch","östliches Mitteldeutsch","Dresden","137577","jung","DDJUNG2","NoSo","3",0.7,"?",0.8,NA
"439",226,"Obersächsisch","östliches Mitteldeutsch","Reichenbach","137668","alt","ZALT1","NoSo","3",1.88,"?",1.5,NA
"440",227,"Obersächsisch","östliches Mitteldeutsch","Reichenbach","137668","mittel","Z9","NoSo","3",1.94,"?",1.5,NA
"445",228,"Ostfränkisch","Ostoberdeutsch","Ansbach","92718","alt","ANALT2","NoSo","3",1.57,"?",1.07,"CK"
"446",229,"Ostfränkisch","Ostoberdeutsch","Ansbach","92718","mittel","AN3","NoSo","3",1.36,"?",0.77,"CK"
"447",230,"Ostfränkisch","Ostoberdeutsch","Ansbach","92718","jung","ANJUNG","NoSo","3",1.48,"?",1.21,"CK"
"450",231,"Ostfränkisch","Ostoberdeutsch","Bamberg","85574","jung","BAJUNG2","NoSo","3",1.14,"?",0.7,NA
"454",232,"Nordbairisch","Ostoberdeutsch","Hirschau","82073","alt","AMALT1","NoSo","3",1.93,"?",1.7,NA
"455",233,"Nordbairisch","Ostoberdeutsch","Hirschau","82073","mittel","AM3","NoSo","3",1.17,"?",1,NA
"457",234,"Nordbairisch","Ostoberdeutsch","Weiden","73125","alt","WENALT2","NoSo","3",1.55,"?",1.4,NA
"458",235,"Nordbairisch","Ostoberdeutsch","Weiden","73125","mittel","WEN2","NoSo","3",1.42,"?",1.2,NA
"460",236,"Nordbairisch-Mittelbairisch","Ostoberdeutsch","Ingolstadt","89888","alt","INALT1","NoSo","3",1.33,"?",1.2,NA
"461",237,"Nordbairisch-Mittelbairisch","Ostoberdeutsch","Ingolstadt","89888","mittel","IN6","NoSo","3",1.6,"?",1.3,NA
"462",238,"Nordbairisch-Mittelbairisch","Ostoberdeutsch","Ingolstadt","89888","jung","INJUNG1","NoSo","3",1.45,"?",1,NA
"463",239,"Nordbairisch-Mittelbairisch","Ostoberdeutsch","Regensburg","77282","alt","RALT1","NoSo","3",1.35,"?",1.2,NA
"464",240,"Nordbairisch-Mittelbairisch","Ostoberdeutsch","Regensburg","77282","mittel","R3","NoSo","3",1.16,"?",1.1,NA
"466",241,"Mittelbairisch","Ostoberdeutsch","München","73556","alt","MALT1","NoSo","3",1.46,"?",1.2,NA
"467",242,"Mittelbairisch","Ostoberdeutsch","München","73556","mittel","M9","NoSo","3",1.49,"?",1.2,NA
"472",243,"Mittelbairisch","Ostoberdeutsch","Trostberg","75512","alt","TSALT1","NoSo","3",1.2,"?",1.1,NA
"473",244,"Mittelbairisch","Ostoberdeutsch","Trostberg","75512","mittel","TS2","NoSo","3",1.14,"?",0.9,NA
"474",245,"Mittelbairisch","Ostoberdeutsch","Trostberg","75512","jung","TSJUNG1","NoSo","3",1.07,"?",1,NA
"484",246,"Schwäbisch","Westoberdeutsch","Kaufbeuren","83571","alt","KFALT3","NoSo","3",1.21,"?",1.1,NA
"485",247,"Schwäbisch","Westoberdeutsch","Kaufbeuren","83571","mittel","KF1","NoSo","3",1.42,"?",1.1,NA
"486",248,"Schwäbisch","Westoberdeutsch","Kaufbeuren","83571","jung","KFJUNG1","NoSo","3",1.14,"?",0.8,NA
"487",249,"Schwäbisch","Westoberdeutsch","Ulm","127525","alt","ULALT1","NoSo","3",1.67,"?",1.1,NA
"488",250,"Schwäbisch","Westoberdeutsch","Ulm","127525","mittel","UL1","NoSo","3",1.45,"?",1.1,NA
"489",251,"Schwäbisch","Westoberdeutsch","Ulm","127525","jung","ULJUNG2","NoSo","3",1.2,"?",1,NA
"490",252,"Schwäbisch","Westoberdeutsch","Balingen","129371","alt","BLALT1","NoSo","3",1.67,"?",1.5,NA
"491",253,"Schwäbisch","Westoberdeutsch","Balingen","129371","mittel","BL2","NoSo","3",1.31,"?",1.1,NA
"492",254,"Schwäbisch","Westoberdeutsch","Balingen","129371","jung","BLJUNG1","NoSo","3",1.21,"?",1,NA
"493",255,"Schwäbisch","Westoberdeutsch","Rudersberg","131121","alt","WNALT1","NoSo","3",1.49,"MA",1.3,NA
"494",256,"Schwäbisch","Westoberdeutsch","Rudersberg","131121","mittel","WN3","NoSo","3",1.25,"?",1,NA
"495",257,"Schwäbisch","Westoberdeutsch","Rudersberg","131121","jung","WNJUNG1","NoSo","3",1.25,"MBS",1.1,NA
"496",258,"Schwäbisch","Westoberdeutsch","Blindheim","78986","alt","DLGALT2","NoSo","3",1.18,"?",1,NA
"497",259,"Schwäbisch","Westoberdeutsch","Blindheim","78986","mittel","DLG1","NoSo","3",1.46,"?",1.5,NA
"498",260,"Schwäbisch","Westoberdeutsch","Blindheim","78986","jung","DLGJUNG2","NoSo","3",1.4,"?",1.1,NA
"500",261,"Hochalemannisch","Westoberdeutsch","Waldshut","129900","mittel","WT1","NoSo","3",0.97,"?",0.7,NA
"505",262,"Mittelalemannisch","Westoberdeutsch","Bräunlingen","127324","mittel","VS3","NoSo","3",0.95,"?",0.73,"CK"
"506",263,"Mittelalemannisch","Westoberdeutsch","Bräunlingen","127324","alt","VSALT2","NoSo","3",1.09,"?",0.81,"CK"
"507",264,"Mittelalemannisch","Westoberdeutsch","Bräunlingen","127324","jung","VSJUNG1","NoSo","3",1.19,"?",0.54,"CK"
"511",265,"Mittelalemannisch","Westoberdeutsch","Tuttlingen","130272","mittel","TUT3","NoSo","3",1.46,"?",1.01,"MG"
"512",266,"Mittelalemannisch","Westoberdeutsch","Tuttlingen","130272","alt","TUTALT2","NoSo","3",1.26,"?",0.95,"MG"
"513",267,"Mittelalemannisch","Westoberdeutsch","Tuttlingen","130272","jung","TUTJUNG1","NoSo","3",0.77,"?",0.5,"MG"
"514",268,"Niederalemannisch","Westoberdeutsch","Ohlsbach","128482","mittel","OG2","NoSo","3",1.34,"RK",0.87,"CK"
"515",269,"Niederalemannisch","Westoberdeutsch","Ohlsbach","128482","alt","OGALT","NoSo","3",1.31,"RK",1.07,"CK"
"516",270,"Niederalemannisch","Westoberdeutsch","Ohlsbach","128482","jung","OGJUNG2","NoSo","3",0.88,"MBS",0.57,"CK"
"520",271,"Nordniederdeutsch","nördliches Niederdeutsch","Bad Segeberg","116678","alt","SEALT2","Inter","3",1.61,"MA",0.7,"CK"
"521",272,"Nordniederdeutsch","nördliches Niederdeutsch","Bad Segeberg","116678","mittel","SE2","Inter","3",1.57,"PL",0.7,NA
"522",273,"Nordniederdeutsch","nördliches Niederdeutsch","Bad Segeberg","116678","jung","SEJUNG1","Inter","3",1.67,"PL",0.61,"CK"
"529",274,"Nordniederdeutsch","nördliches Niederdeutsch","Oldenburg","107826","alt","OLALT3","Inter","3",1.57,"?",0.69,NA
"530",275,"Nordniederdeutsch","nördliches Niederdeutsch","Oldenburg","107826","mittel","OL5","Inter","3",1.45,"?",0.51,NA
"531",276,"Nordniederdeutsch","nördliches Niederdeutsch","Oldenburg","107826","jung","OLJUNG","Inter","3",1.94,NA,0.51,NA
"541",277,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Schwerin","119248","mittel","SN2","Inter","3",1.34,"CK",0.54,"CK"
"542",278,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Schwerin","119248","alt","SNALT2","Inter","3",1.36,"MA",0.7,"CK"
"543",279,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Schwerin","119248","jung","SNJUNG1","Inter","3",1.65,"MA",0.72,"CK"
"547",280,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Bergen","118712","mittel","RUEG1","Inter","3",1.85,"LV",1.1,NA
"548",281,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Bergen","118712","alt","RUEGALT2","Inter","3",2.13,"LV",1.4,NA
"549",282,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Bergen","118712","jung","RUEGJUNG1","Inter","3",1.97,"LV",1.1,NA
"559",283,"Brandenburgisch","nördliches Niederdeutsch","Potsdam","125116","mittel","P9","Inter","3",1.89,"?",1.04,"SL"
"560",284,"Brandenburgisch","nördliches Niederdeutsch","Potsdam","125116","alt","PALT1","Inter","3",1.69,"?",0.94,"SL"
"561",285,"Brandenburgisch","nördliches Niederdeutsch","Potsdam","125116","jung","PJUNG1","Inter","3",1.61,"?",0.91,"SL"
"562",286,"Brandenburgisch","nördliches Niederdeutsch","Pritzwalk","125032","mittel","PR1","Inter","3",1.84,"?",0.97,"SL"
"563",287,"Brandenburgisch","nördliches Niederdeutsch","Pritzwalk","125032","alt","PRALT2","Inter","3",2.57,"?",1.43,"SL"
"564",288,"Brandenburgisch","nördliches Niederdeutsch","Pritzwalk","125032","jung","PRJUNG2","Inter","3",1.79,"?",0.71,"SL"
"574",289,"Westfälisch","südliches Niederdeutsch","Borken","102881","mittel","BOR2","Inter","3",1.71,"?",0.57,NA
"575",290,"Westfälisch","südliches Niederdeutsch","Borken","102881","alt","BORALT1","Inter","3",1.45,"?",0.8,NA
"576",291,"Westfälisch","südliches Niederdeutsch","Borken","102881","jung","BORJUNG1","Inter","3",1.86,"?",0.6,NA
"577",292,"Westfälisch","südliches Niederdeutsch","Hagen","103064","alt","HAALT1","Inter","3",1.19,"?",0.54,NA
"578",293,"Westfälisch","südliches Niederdeutsch","Hagen","103064","mittel","HA4","Inter","3",1.43,"?",0.62,NA
"579",294,"Westfälisch","südliches Niederdeutsch","Hagen","103064","jung","HAJUNG1","Inter","3",2.8,"?",0.31,NA
"580",295,"Westfälisch","südliches Niederdeutsch","Gütersloh","101621","alt","GTALT2","Inter","3",1.75,"?",0.61,NA
"581",296,"Westfälisch","südliches Niederdeutsch","Gütersloh","101621","mittel","GT3","Inter","3",1.4,"?",0.53,NA
"582",297,"Westfälisch","südliches Niederdeutsch","Gütersloh","101621","jung","GTJUNG2","Inter","3",1.22,"?",0.27,NA
"583",298,"Westfälisch","südliches Niederdeutsch","Horn-Bad Meinberg","102973","alt","LIPALT1","Inter","3",1.8,"?",1.01,NA
"584",299,"Westfälisch","südliches Niederdeutsch","Horn-Bad Meinberg","102973","mittel","LIP5","Inter","3",1.18,"?",0.55,NA
"585",300,"Westfälisch","südliches Niederdeutsch","Horn-Bad Meinberg","102973","jung","LIPJUNG2","Inter","3",1.13,"?",0.23,NA
"586",301,"Westfälisch","südliches Niederdeutsch","Drolshagen","101533","alt","OEALT2","Inter","3",1.33,"?",0.95,NA
"587",302,"Westfälisch","südliches Niederdeutsch","Drolshagen","101533","mittel","OE7","Inter","3",1.32,"?",0.55,NA
"588",303,"Westfälisch","südliches Niederdeutsch","Drolshagen","101533","jung","OEJUNG","Inter","3",1.41,"?",0.52,NA
"589",304,"Ostfälisch","südliches Niederdeutsch","Halberstadt","125017","alt","HBSALT2","Inter","3",1.36,"HB",0.86,"MG"
"590",305,"Ostfälisch","südliches Niederdeutsch","Halberstadt","125017","mittel","HBS9","Inter","3",1.74,"HB",0.92,"MG"
"591",306,"Ostfälisch","südliches Niederdeutsch","Halberstadt","125017","jung","HBSJUNG2","Inter","3",1.19,"HB",0.5,"MG"
"595",307,"Ostfälisch","südliches Niederdeutsch","Northeim","107905","mittel","NOM3","Inter","3",2.05,"PL",0.86,"CK"
"596",308,"Ostfälisch","südliches Niederdeutsch","Northeim","107905","alt","NOMALT1","Inter","3",2.06,"HB",0.97,"CK"
"597",309,"Ostfälisch","südliches Niederdeutsch","Northeim","107905","jung","NOMJUNG","Inter","3",1.59,"HB",0.68,"CK"
"601",310,"Ripuarisch","Westdeutsch","Bergisch-Gladbach","135950","alt","GLALT1","Inter","3",1.66,"?",1.3,NA
"602",311,"Ripuarisch","Westdeutsch","Bergisch-Gladbach","135950","mittel","GL3","Inter","3",1.78,"?",1.3,NA
"607",312,"Ripuarisch","Westdeutsch","Troisdorf","134279","alt","SUALT","Inter","3",1.48,"?",1.2,NA
"608",313,"Ripuarisch","Westdeutsch","Troisdorf","134279","mittel","SU1","Inter","3",1.48,"?",1.3,NA
"610",314,"Ripuarisch-Niederfränkisch","Westdeutsch","Krefeld","135092","alt","KRALT3","Inter","3",1.63,"?",1.2,NA
"611",315,"Ripuarisch-Niederfränkisch","Westdeutsch","Krefeld","135092","mittel","KR5","Inter","3",1.44,"?",1.3,NA
"612",316,"Ripuarisch-Niederfränkisch","Westdeutsch","Krefeld","135092","jung","KRJUNG1","Inter","3",1.54,"?",1.2,NA
"613",317,"Ripuarisch-Niederfränkisch","Westdeutsch","Mönchengladbach","136187","alt","MGALT","Inter","3",1.64,"?",1.3,NA
"614",318,"Ripuarisch-Niederfränkisch","Westdeutsch","Mönchengladbach","136187","mittel","MG6","Inter","3",1.74,"?",1.3,NA
"631",319,"Rheinfränkisch","westliches Mitteldeutsch","Kaiserslautern","100327","mittel","KL3","Inter","3",1.35,"PL",0.96,"CK"
"632",320,"Rheinfränkisch","westliches Mitteldeutsch","Kaiserslautern","100327","alt","KLALT1","Inter","3",1.87,"PL",1.43,"CK"
"633",321,"Rheinfränkisch","westliches Mitteldeutsch","Kaiserslautern","100327","jung","KLJUNG1","Inter","3",1.66,"HB",0.86,"CK"
"637",322,"Rheinfränkisch","westliches Mitteldeutsch","Reinheim","99678","alt","DAALT2","Inter","3",2.1,"?",1.6,NA
"639",323,"Rheinfränkisch","westliches Mitteldeutsch","Reinheim","99678","jung","DAJUNG1","Inter","3",2,"?",1.3,NA
"646",324,"Rheinfränkisch-Moselfränkisch-Zentralhessisch","westliches Mitteldeutsch","Mainz","95700","mittel","MZ7","Inter","2",1.51,"?",1.04,"?"
"652",325,"Rheinfränkisch-Zentralhessisch-Moselfränkisch","westliches Mitteldeutsch","Frankfurt am Main","97616","alt","FALT1","Inter","3",2.01,"?",1.8,NA
"653",326,"Rheinfränkisch-Zentralhessisch-Moselfränkisch","westliches Mitteldeutsch","Frankfurt am Main","97616","mittel","F1","Inter","3",1.57,"?",1.4,NA
"654",327,"Rheinfränkisch-Zentralhessisch-Moselfränkisch","westliches Mitteldeutsch","Frankfurt am Main","97616","jung","FJUNG1","Inter","3",1.96,"?",1,NA
"658",328,"Nordhessisch","westliches Mitteldeutsch","Homberg","96619","mittel","HR4","Inter","3",1.66,"NZ",1.07,"CK"
"659",329,"Nordhessisch","westliches Mitteldeutsch","Homberg","96619","alt","HRALT2","Inter","3",1.18,"PL",0.75,"CK"
"660",330,"Nordhessisch","westliches Mitteldeutsch","Homberg","96619","jung","HRJUNG1","Inter","3",1.65,"HB",0.92,"CK"
"664",331,"Zentralhessisch","westliches Mitteldeutsch","Bad Nauheim","99815","alt","FBALT2","Inter","3",2.67,"?",2,NA
"665",332,"Zentralhessisch","westliches Mitteldeutsch","Bad Nauheim","99815","mittel","FB1","Inter","3",1.5,"?",1.1,NA
"666",333,"Zentralhessisch","westliches Mitteldeutsch","Bad Nauheim","99815","jung","FBJUNG1","Inter","3",1.88,"?",1,NA
"667",334,"Zentralhessisch","westliches Mitteldeutsch","Büdingen","99973","alt","BÜDALT1","Inter","3",2.15,"?",2.1,NA
"668",335,"Zentralhessisch","westliches Mitteldeutsch","Büdingen","99973","mittel","BÜD3","Inter","3",1.69,"?",1.4,NA
"669",336,"Zentralhessisch","westliches Mitteldeutsch","Büdingen","99973","jung","BÜDJUNG1","Inter","3",1.57,"?",0.9,NA
"670",337,"Zentralhessisch","westliches Mitteldeutsch","Gießen","96713","alt","GIALT1","Inter","3",1.94,"?",1.3,NA
"671",338,"Zentralhessisch","westliches Mitteldeutsch","Gießen","96713","mittel","GI11","Inter","3",2.23,"?",1.2,NA
"672",339,"Zentralhessisch","westliches Mitteldeutsch","Gießen","96713","jung","GIJUNG","Inter","3",2.06,"?",1,NA
"673",340,"Zentralhessisch","westliches Mitteldeutsch","Ulrichstein","94901","alt","VBALT2","Inter","3",2.16,"?",1.7,NA
"674",341,"Zentralhessisch","westliches Mitteldeutsch","Ulrichstein","94901","mittel","VB2","Inter","3",1.8,"?",1.4,NA
"675",342,"Zentralhessisch","westliches Mitteldeutsch","Ulrichstein","94901","jung","VBJUNG1","Inter","3",2.23,"?",1.3,NA
"676",343,"Osthessisch","westliches Mitteldeutsch","Hofbieber","100236","alt","FDALT3","Inter","3",1.44,"PL",1.13,"CK"
"677",344,"Osthessisch","westliches Mitteldeutsch","Hofbieber","100236","mittel","FD4","Inter","3",1.08,"PL",0.85,"CK"
"678",345,"Osthessisch","westliches Mitteldeutsch","Hofbieber","100236","jung","FDJUNG1","Inter","3",1.49,"PL",1.04,"CK"
"685",346,"Thüringisch","östliches Mitteldeutsch","Sondershausen","141165","alt","KYFALT2","Inter","3",2.54,"?",2,NA
"686",347,"Thüringisch","östliches Mitteldeutsch","Sondershausen","141165","mittel","KYF5","Inter","3",2.11,"?",1.7,NA
"689",348,"Thüringisch-Obersächsisch","östliches Mitteldeutsch","Gera","139192","mittel","G2","Inter","3",2.14,"?",1.4,NA
"694",349,"Obersächsisch","östliches Mitteldeutsch","Dresden","137577","alt","DDALT","Inter","3",1.93,"?",1.2,NA
"695",350,"Obersächsisch","östliches Mitteldeutsch","Dresden","137577","mittel","DD4","Inter","3",1.79,"?",1,NA
"696",351,"Obersächsisch","östliches Mitteldeutsch","Dresden","137577","jung","DDJUNG2","Inter","3",1.55,"?",0.9,NA
"698",352,"Obersächsisch","östliches Mitteldeutsch","Reichenbach","137668","mittel","Z9","Inter","3",2.35,"?",2,NA
"703",353,"Ostfränkisch","Ostoberdeutsch","Ansbach","92718","alt","ANALT2","Inter","3",1.91,"?",1.41,"CK"
"704",354,"Ostfränkisch","Ostoberdeutsch","Ansbach","92718","mittel","AN3","Inter","3",2.17,"?",1.26,"CK"
"705",355,"Ostfränkisch","Ostoberdeutsch","Ansbach","92718","jung","ANJUNG","Inter","3",2.08,"?",1.28,"CK"
"712",356,"Nordbairisch","Ostoberdeutsch","Hirschau","82073","alt","AMALT1","Inter","3",2.43,"?",2,NA
"713",357,"Nordbairisch","Ostoberdeutsch","Hirschau","82073","mittel","AM3","Inter","3",2.46,"?",1.9,NA
"715",358,"Nordbairisch","Ostoberdeutsch","Weiden","73125","alt","WENALT2","Inter","3",2.04,"?",1.7,NA
"718",359,"Nordbairisch-Mittelbairisch","Ostoberdeutsch","Ingolstadt","89888","alt","INALT1","Inter","3",1.83,"?",1.7,NA
"719",360,"Nordbairisch-Mittelbairisch","Ostoberdeutsch","Ingolstadt","89888","mittel","IN6","Inter","3",2.33,"?",2,NA
"721",361,"Nordbairisch-Mittelbairisch","Ostoberdeutsch","Regensburg","77282","alt","RALT1","Inter","3",2.19,"?",1.5,NA
"722",362,"Nordbairisch-Mittelbairisch","Ostoberdeutsch","Regensburg","77282","mittel","R3","Inter","3",2.6,"?",2.3,NA
"724",363,"Mittelbairisch","Ostoberdeutsch","München","73556","alt","MALT1","Inter","3",2.37,"?",1.9,NA
"725",364,"Mittelbairisch","Ostoberdeutsch","München","73556","mittel","M9","Inter","3",2.66,"?",2.2,NA
"742",365,"Schwäbisch","Westoberdeutsch","Kaufbeuren","83571","alt","KFALT3","Inter","3",1.91,"?",1.5,NA
"743",366,"Schwäbisch","Westoberdeutsch","Kaufbeuren","83571","mittel","KF1","Inter","3",2.09,"?",1.8,NA
"744",367,"Schwäbisch","Westoberdeutsch","Kaufbeuren","83571","jung","KFJUNG1","Inter","3",1.5,"?",1.1,NA
"745",368,"Schwäbisch","Westoberdeutsch","Ulm","127525","alt","ULALT1","Inter","3",2.5,"?",2.1,NA
"746",369,"Schwäbisch","Westoberdeutsch","Ulm","127525","mittel","UL1","Inter","3",2.22,"?",1.7,NA
"747",370,"Schwäbisch","Westoberdeutsch","Ulm","127525","jung","ULJUNG2","Inter","3",1.94,"?",1.9,NA
"748",371,"Schwäbisch","Westoberdeutsch","Balingen","129371","alt","BLALT1","Inter","3",2.53,"?",2.2,NA
"749",372,"Schwäbisch","Westoberdeutsch","Balingen","129371","mittel","BL2","Inter","3",2.34,"?",2,NA
"750",373,"Schwäbisch","Westoberdeutsch","Balingen","129371","jung","BLJUNG1","Inter","3",1.42,"?",1.2,NA
"751",374,"Schwäbisch","Westoberdeutsch","Rudersberg","131121","alt","WNALT1","Inter","3",1.61,"MA",1.4,NA
"752",375,"Schwäbisch","Westoberdeutsch","Rudersberg","131121","mittel","WN3","Inter","3",2.07,"?",2,NA
"754",376,"Schwäbisch","Westoberdeutsch","Blindheim","78986","alt","DLGALT2","Inter","3",1.81,"?",1.6,NA
"755",377,"Schwäbisch","Westoberdeutsch","Blindheim","78986","mittel","DLG1","Inter","3",2.08,"?",1.8,NA
"756",378,"Schwäbisch","Westoberdeutsch","Blindheim","78986","jung","DLGJUNG2","Inter","3",1.67,"?",1.5,NA
"763",379,"Mittelalemannisch","Westoberdeutsch","Bräunlingen","127324","mittel","VS3","Inter","3",1.99,"PL",1.27,"CK"
"764",380,"Mittelalemannisch","Westoberdeutsch","Bräunlingen","127324","alt","VSALT2","Inter","3",2,"PL",1.46,"CK"
"765",381,"Mittelalemannisch","Westoberdeutsch","Bräunlingen","127324","jung","VSJUNG1","Inter","3",1.86,"PL",1.4,"CK"
"769",382,"Mittelalemannisch","Westoberdeutsch","Tuttlingen","130272","mittel","TUT3","Inter","3",2.26,"PL",1.63,"MG"
"770",383,"Mittelalemannisch","Westoberdeutsch","Tuttlingen","130272","alt","TUTALT2","Inter","3",1.72,"PL",1.15,"MG"
"771",384,"Mittelalemannisch","Westoberdeutsch","Tuttlingen","130272","jung","TUTJUNG1","Inter","3",1.19,"?",0.64,"MG"
"772",385,"Niederalemannisch","Westoberdeutsch","Ohlsbach","128482","mittel","OG2","Inter","3",1.99,"PL",1.41,"CK"
"773",386,"Niederalemannisch","Westoberdeutsch","Ohlsbach","128482","alt","OGALT","Inter","3",2.54,"MA",1.98,"CK"
"774",387,"Niederalemannisch","Westoberdeutsch","Ohlsbach","128482","jung","OGJUNG2","Inter","3",1.75,"MBS",1.26,"CK"
"778",388,"Nordniederdeutsch","nördliches Niederdeutsch","Bad Segeberg","116678","alt","SEALT2","FG","3",2.72,"MA",1.91,"CK"
"779",389,"Nordniederdeutsch","nördliches Niederdeutsch","Bad Segeberg","116678","mittel","SE2","FG","3",1.53,"CK",0.89,"CK"
"780",390,"Nordniederdeutsch","nördliches Niederdeutsch","Bad Segeberg","116678","jung","SEJUNG1","FG","3",1.58,"MA",0.57,"CK"
"787",391,"Nordniederdeutsch","nördliches Niederdeutsch","Oldenburg","107826","alt","OLALT3","FG","3",2.93,"?",2.28,NA
"788",392,"Nordniederdeutsch","nördliches Niederdeutsch","Oldenburg","107826","mittel","OL5","FG","3",1.58,"?",0.61,NA
"789",393,"Nordniederdeutsch","nördliches Niederdeutsch","Oldenburg","107826","jung","OLJUNG","FG","3",1.83,"?",0.49,NA
"799",394,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Schwerin","119248","mittel","SN2","FG","3",1.38,"MA",0.65,"CK"
"800",395,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Schwerin","119248","alt","SNALT2","FG","3",2.36,"MA",1.74,"CK"
"801",396,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Schwerin","119248","jung","SNJUNG1","FG","3",1.7,"NZ",0.73,"CK"
"805",397,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Bergen","118712","mittel","RUEG1","FG","3",1.81,"LV",1.2,NA
"806",398,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Bergen","118712","alt","RUEGALT2","FG","3",3.06,"LV",2.7,NA
"807",399,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Bergen","118712","jung","RUEGJUNG1","FG","3",1.86,NA,1.1,NA
"817",400,"Brandenburgisch","nördliches Niederdeutsch","Potsdam","125116","mittel","P9","FG","3",1.92,"?",1.2,"SL"
"818",401,"Brandenburgisch","nördliches Niederdeutsch","Potsdam","125116","alt","PALT1","FG","3",1.7,"?",0.91,"SL"
"819",402,"Brandenburgisch","nördliches Niederdeutsch","Potsdam","125116","jung","PJUNG1","FG","3",1.51,"?",0.72,"SL"
