"","ID","dialect","diaClass_hanna","place","GID","generation","informant","type","progess_lvl","PAM","PAM_add","CTR","CTR_add"
"94",46,"Ripuarisch-Niederfränkisch","Westdeutsch","Krefeld","135092","alt","KRALT3","WSS","3",1.13,"?",0.8,NA
"95",47,"Ripuarisch-Niederfränkisch","Westdeutsch","Krefeld","135092","mittel","KR5","WSS","3",0.99,"?",0.7,NA
"97",48,"Ripuarisch-Niederfränkisch","Westdeutsch","Mönchengladbach","136187","alt","MGALT","WSS","3",1.28,"?",0.9,NA
"98",49,"Ripuarisch-Niederfränkisch","Westdeutsch","Mönchengladbach","136187","mittel","MG6","WSS","3",1.1,"?",0.8,NA
"106",50,"Moselfränkisch","Westdeutsch","Wittlich","100001","alt","WITALT1","WSS","3",0.93,"?",0.7,NA
"115",51,"Rheinfränkisch","westliches Mitteldeutsch","Kaiserslautern","100327","mittel","KL3","WSS","3",0.72,"PL",0.57,"CK"
"116",52,"Rheinfränkisch","westliches Mitteldeutsch","Kaiserslautern","100327","alt","KLALT1","WSS","3",1.13,"PL",0.72,"CK"
"117",53,"Rheinfränkisch","westliches Mitteldeutsch","Kaiserslautern","100327","jung","KLJUNG1","WSS","3",0.65,"PL",0.31,"CK"
"121",54,"Rheinfränkisch","westliches Mitteldeutsch","Reinheim","99678","alt","DAALT2","WSS","3",1.18,"?",1.1,NA
"123",55,"Rheinfränkisch","westliches Mitteldeutsch","Reinheim","99678","jung","DAJUNG1","WSS","3",0.74,"?",0.8,NA
"130",56,"Rheinfränkisch-Moselfränkisch-Zentralhessisch","westliches Mitteldeutsch","Mainz","95700","mittel","MZ7","WSS","2",1.08,"?",0.78,"?"
"131",57,"Rheinfränkisch-Moselfränkisch-Zentralhessisch","westliches Mitteldeutsch","Mainz","95700","alt","MZALT1","WSS","2",0.74,"?",0.495,"?"
"136",58,"Rheinfränkisch-Zentralhessisch-Moselfränkisch","westliches Mitteldeutsch","Frankfurt am Main","97616","alt","FALT1","WSS","3",1.36,"?",1,NA
"137",59,"Rheinfränkisch-Zentralhessisch-Moselfränkisch","westliches Mitteldeutsch","Frankfurt am Main","97616","mittel","F1","WSS","3",1.21,"?",0.9,NA
"138",60,"Rheinfränkisch-Zentralhessisch-Moselfränkisch","westliches Mitteldeutsch","Frankfurt am Main","97616","jung","FJUNG1","WSS","3",0.96,"?",0.6,NA
"142",61,"Nordhessisch","westliches Mitteldeutsch","Homberg","96619","mittel","HR4","WSS","3",1.39,"MA",0.9,"CK"
